Title,Description,Genre,Director
Inception,"Inception is a 2010 science fiction action film written and directed by Christopher Nolan, who also produced the film with his wife, Emma Thomas. The film stars Leonardo DiCaprio as a professional thief who steals information by infiltrating the subconscious of his targets.",Science Fiction,Christopher Nolan
The Matrix,"The Matrix is a 1999 science fiction action film written and directed by the Wachowskis. It depicts a dystopian future in which humanity is unknowingly trapped inside a simulated reality, the Matrix, created by intelligent machines to distract humans while using their bodies as an energy source.",Science Fiction,The Wachowskis
Fight Club,"Fight Club is a 1999 film directed by David Fincher and based on the 1996 novel of the same name by Chuck Palahniuk. It stars Brad Pitt, Edward Norton, and Helena Bonham Carter. The film depicts an unnamed narrator who is discontent with his white-collar job and forms a 'fight club' with soap salesman Tyler Durden.",Drama,David Fincher
Interstellar,"Interstellar is a 2014 epic science fiction film directed by Christopher Nolan. It stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, and Michael Caine. The film follows a group of astronauts who travel through a wormhole near Saturn in search of a new home for humanity.",Science Fiction,Christopher Nolan
The Silence of the Lambs,"The Silence of the Lambs is a 1991 psychological horror film directed by Jonathan Demme and starring Jodie Foster, Anthony Hopkins, Scott Glenn, and Ted Levine. It is based on Thomas Harris' 1988 novel of the same name and is the second film to feature the character Hannibal Lecter.",Horror,Jonathan Demme
The Shawshank Redemption,"The Shawshank Redemption is a 1994 American drama film directed by Frank Darabont, adapted from a novella by Stephen King. It tells the story of Andy Dufresne, a man who is wrongly convicted of murdering his wife and her lover, and is sentenced to life imprisonment at the Shawshank State Penitentiary. Over the decades, he befriends a fellow inmate, Ellis ""Red"" Redding, and becomes involved in the prison's economy, culture, and social hierarchy.",Drama,Frank Darabont
The Godfather,"The Godfather is a 1972 American crime film directed by Francis Ford Coppola, who co-wrote the screenplay with Mario Puzo, based on Puzo's 1969 novel of the same name. It stars Marlon Brando, Al Pacino, James Caan, Richard Castellano, Sterling Hayden, John Marley, Richard Conte, Robert Duvall, Diane Keaton, and Abe Vigoda. The story spans from 1945 to 1955 and chronicles the Corleone family under patriarch Vito Corleone (Brando), focusing on the transformation of his youngest son, Michael (Pacino), from reluctant family outsider to ruthless mafia boss.",Crime,Francis Ford Coppola
The Dark Knight,"The Dark Knight is a 2008 superhero film directed, co-produced, and co-written by Christopher Nolan. Starring Christian Bale, Heath Ledger, Aaron Eckhart, Gary Oldman, Maggie Gyllenhaal, and Michael Caine, it is the second installment in Nolan's The Dark Knight Trilogy, following Batman Begins (2005), and a sequel to the 2005 film. The Dark Knight portrays the escalation of Batman's fight against crime with the emergence of the Joker, a criminal mastermind who aims to throw Gotham City into chaos.",Superhero,Christopher Nolan
Pulp Fiction,"Pulp Fiction is a 1994 American neo-noir crime film written and directed by Quentin Tarantino, produced by Lawrence Bender, and co-written with Roger Avary. Starring John Travolta, Samuel L. Jackson, Uma Thurman, Tim Roth, Amanda Plummer, Vincent Vega, Jules Winnfield, Mia Wallace, Winston Wolfe, Butch Coolidge, Fabienne",Crime,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Fellowship of the Ring is a 2001 epic fantasy adventure film directed by Peter Jackson, written by Jackson, Fran Walsh, and Philippa Boyens, based on the first part of the trilogy of the same name by J. R. R. Tolkien. The film stars Elijah Wood, Ian McKellen, Orlando Bloom, Sean Astin, Hugo Weaving, Viggo Mortensen, Ian Holm, John Rhys-Davies, Cate Blanchett, Liv Tyler, and Christopher Lee. It follows hobbit Frodo Baggins as he inherits the One Ring and embarks on a quest to destroy it in the fires of Mount Doom.",Fantasy,Peter Jackson
Forrest Gump,"Forrest Gump is a 1994 American comedy-drama film directed by Robert Zemeckis, written by Eric Roth, based on the 1986 novel of the same name by Winston Groom. It stars Tom Hanks as Forrest Gump, a slow-witted but kind-hearted man from Alabama who witnesses and influences several historical events in the 20th century. Robin Wright stars as his childhood friend and soulmate Jenny Curran, and the supporting cast includes Gary Sinise, Mykelti Williamson, and Sally Field.",Comedy-Drama,Robert Zemeckis
The Departed,"The Departed is a 2006 crime film directed by Martin Scorsese and written by William Monahan. It is a remake of the 2002 Hong Kong film Infernal Affairs and stars Leonardo DiCaprio, Matt Damon, Jack Nicholson, and Mark Wahlberg. The plot revolves around an undercover cop and a mole in the police force attempting to identify each other while infiltrating an Irish gang in Boston.",Crime,Martin Scorsese
Schindler's List,"Schindler's List is a 1993 American epic historical drama film directed and produced by Steven Spielberg and written by Steven Zaillian. It is based on the 1982 novel Schindler's Ark by Australian novelist Thomas Keneally. The film follows Oskar Schindler, a German industrialist who saved the lives of more than a thousand Polish-Jewish refugees during the Holocaust by employing them in his factories.",Historical Drama,Steven Spielberg
Gladiator,"Gladiator is a 2000 epic historical drama film directed by Ridley Scott and written by David Franzoni, John Logan, and William Nicholson. It stars Russell Crowe, Joaquin Phoenix, Connie Nielsen, Ralf Möller, Oliver Reed (in his final role), Djimon Hounsou, Derek Jacobi, John Shrapnel, and Richard Harris. The film depicts the Roman general Maximus Decimus Meridius, who is betrayed by Commodus, the corrupt son of Emperor Marcus Aurelius, and must fight to regain his freedom and avenge his family.",Historical Drama,Ridley Scott
The Green Mile,"The Green Mile is a 1999 American fantasy crime drama film written and directed by Frank Darabont and based on Stephen King's 1996 novel of the same name. It stars Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, and James Cromwell. The film tells the story of Paul Edgecomb, a corrections officer who meets an unusual inmate named John Coffey with supernatural abilities.",Fantasy,Frank Darabont
Saving Private Ryan,"Saving Private Ryan is a 1998 American epic war film directed by Steven Spielberg and written by Robert Rodat. It stars Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, and Ted Danson. Set during the Invasion of Normandy in World War II, the film is known for its realistic portrayal of war and its depiction of the Omaha Beach assault.",War,Steven Spielberg
